//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3143.30000002328
PositionY = 9653.70000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
 9.04588E+02	 1.70526E+03
 9.07240E+02	 1.69990E+03
 9.09891E+02	 1.70502E+03
 9.12541E+02	 1.70894E+03
 9.15191E+02	 1.70876E+03
 9.17840E+02	 1.70884E+03
 9.20487E+02	 1.71510E+03
 9.23134E+02	 1.71604E+03
 9.25780E+02	 1.71866E+03
 9.28426E+02	 1.72566E+03
 9.31070E+02	 1.72380E+03
 9.33714E+02	 1.72778E+03
 9.36356E+02	 1.73694E+03
 9.38998E+02	 1.73672E+03
 9.41639E+02	 1.73846E+03
 9.44279E+02	 1.73944E+03
 9.46918E+02	 1.73788E+03
 9.49557E+02	 1.73638E+03
 9.52194E+02	 1.72224E+03
 9.54831E+02	 1.70200E+03
 9.57466E+02	 1.66650E+03
 9.60101E+02	 1.63978E+03
 9.62735E+02	 1.60536E+03
 9.65369E+02	 1.59138E+03
 9.68001E+02	 1.57412E+03
 9.70633E+02	 1.56506E+03
 9.73263E+02	 1.54928E+03
 9.75893E+02	 1.54204E+03
 9.78522E+02	 1.53380E+03
 9.81150E+02	 1.53538E+03
 9.83777E+02	 1.52664E+03
 9.86404E+02	 1.52884E+03
 9.89029E+02	 1.52372E+03
 9.91654E+02	 1.52832E+03
 9.94278E+02	 1.53136E+03
 9.96901E+02	 1.52654E+03
 9.99523E+02	 1.52840E+03
 1.00214E+03	 1.52426E+03
 1.00477E+03	 1.51966E+03
 1.00738E+03	 1.52736E+03
 1.01000E+03	 1.52938E+03
 1.01262E+03	 1.52472E+03
 1.01524E+03	 1.52584E+03
 1.01785E+03	 1.52702E+03
 1.02047E+03	 1.52286E+03
 1.02308E+03	 1.52966E+03
 1.02570E+03	 1.52312E+03
 1.02831E+03	 1.52684E+03
 1.03092E+03	 1.53076E+03
 1.03353E+03	 1.52964E+03
 1.03614E+03	 1.52966E+03
 1.03875E+03	 1.52948E+03
 1.04136E+03	 1.53042E+03
 1.04397E+03	 1.53056E+03
 1.04658E+03	 1.53378E+03
 1.04918E+03	 1.53000E+03
 1.05179E+03	 1.53196E+03
 1.05439E+03	 1.53052E+03
 1.05700E+03	 1.53300E+03
 1.05960E+03	 1.53378E+03
 1.06220E+03	 1.53218E+03
 1.06480E+03	 1.52936E+03
 1.06740E+03	 1.53122E+03
 1.07000E+03	 1.53068E+03
 1.07260E+03	 1.53154E+03
 1.07520E+03	 1.52720E+03
 1.07780E+03	 1.52992E+03
 1.08039E+03	 1.53244E+03
 1.08299E+03	 1.52630E+03
 1.08558E+03	 1.52934E+03
 1.08818E+03	 1.52882E+03
 1.09077E+03	 1.52724E+03
 1.09336E+03	 1.52418E+03
 1.09595E+03	 1.52804E+03
 1.09854E+03	 1.52148E+03
 1.10113E+03	 1.52458E+03
 1.10372E+03	 1.53080E+03
 1.10631E+03	 1.52300E+03
 1.10890E+03	 1.52748E+03
 1.11148E+03	 1.52536E+03
 1.11407E+03	 1.52636E+03
 1.11665E+03	 1.52858E+03
 1.11924E+03	 1.53004E+03
 1.12182E+03	 1.52474E+03
 1.12440E+03	 1.53042E+03
 1.12698E+03	 1.52896E+03
 1.12956E+03	 1.52532E+03
 1.13214E+03	 1.52304E+03
 1.13472E+03	 1.52386E+03
 1.13730E+03	 1.52976E+03
 1.13987E+03	 1.52706E+03
 1.14245E+03	 1.52896E+03
 1.14503E+03	 1.52352E+03
 1.14760E+03	 1.52278E+03
 1.15017E+03	 1.52580E+03
 1.15275E+03	 1.52668E+03
 1.15532E+03	 1.52220E+03
 1.15789E+03	 1.52610E+03
 1.16046E+03	 1.52034E+03
 1.16303E+03	 1.52620E+03
 1.16560E+03	 1.52268E+03
 1.16817E+03	 1.51798E+03
 1.17074E+03	 1.51960E+03
 1.17330E+03	 1.52142E+03
 1.17587E+03	 1.51796E+03
 1.17843E+03	 1.52148E+03
 1.18100E+03	 1.52418E+03
 1.18356E+03	 1.51704E+03
 1.18612E+03	 1.51406E+03
 1.18868E+03	 1.51868E+03
 1.19124E+03	 1.51582E+03
 1.19380E+03	 1.51460E+03
 1.19636E+03	 1.51918E+03
 1.19892E+03	 1.51442E+03
 1.20148E+03	 1.51768E+03
 1.20404E+03	 1.51714E+03
 1.20659E+03	 1.51406E+03
 1.20915E+03	 1.51358E+03
 1.21170E+03	 1.51662E+03
 1.21425E+03	 1.51832E+03
 1.21681E+03	 1.52006E+03
 1.21936E+03	 1.51890E+03
 1.22191E+03	 1.51490E+03
 1.22446E+03	 1.51616E+03
 1.22701E+03	 1.51692E+03
 1.22956E+03	 1.51806E+03
 1.23210E+03	 1.51350E+03
 1.23465E+03	 1.51680E+03
 1.23720E+03	 1.51618E+03
 1.23974E+03	 1.51786E+03
 1.24229E+03	 1.51126E+03
 1.24483E+03	 1.51842E+03
 1.24737E+03	 1.51358E+03
 1.24992E+03	 1.51800E+03
 1.25246E+03	 1.51144E+03
 1.25500E+03	 1.51114E+03
 1.25754E+03	 1.51422E+03
 1.26008E+03	 1.51512E+03
 1.26261E+03	 1.51262E+03
 1.26515E+03	 1.51600E+03
 1.26769E+03	 1.51180E+03
 1.27022E+03	 1.51190E+03
 1.27276E+03	 1.51228E+03
 1.27529E+03	 1.51804E+03
 1.27783E+03	 1.51406E+03
 1.28036E+03	 1.51234E+03
 1.28289E+03	 1.50728E+03
 1.28542E+03	 1.50814E+03
 1.28795E+03	 1.51188E+03
 1.29048E+03	 1.50952E+03
 1.29301E+03	 1.51156E+03
 1.29554E+03	 1.51072E+03
 1.29806E+03	 1.51488E+03
 1.30059E+03	 1.51222E+03
 1.30311E+03	 1.50510E+03
 1.30564E+03	 1.50826E+03
 1.30816E+03	 1.50900E+03
 1.31069E+03	 1.51100E+03
 1.31321E+03	 1.51150E+03
 1.31573E+03	 1.50852E+03
 1.31825E+03	 1.51106E+03
 1.32077E+03	 1.50876E+03
 1.32329E+03	 1.50574E+03
 1.32581E+03	 1.50974E+03
 1.32832E+03	 1.50884E+03
 1.33084E+03	 1.50914E+03
 1.33336E+03	 1.51004E+03
 1.33587E+03	 1.51220E+03
 1.33838E+03	 1.51292E+03
 1.34090E+03	 1.50962E+03
 1.34341E+03	 1.51124E+03
 1.34592E+03	 1.50560E+03
 1.34843E+03	 1.51204E+03
 1.35094E+03	 1.50704E+03
 1.35345E+03	 1.51078E+03
 1.35596E+03	 1.51174E+03
 1.35847E+03	 1.51160E+03
 1.36098E+03	 1.50632E+03
 1.36348E+03	 1.51342E+03
 1.36599E+03	 1.51238E+03
 1.36849E+03	 1.51566E+03
 1.37100E+03	 1.51504E+03
 1.37350E+03	 1.51358E+03
 1.37600E+03	 1.51560E+03
 1.37850E+03	 1.50964E+03
 1.38100E+03	 1.51832E+03
 1.38350E+03	 1.51854E+03
 1.38600E+03	 1.51616E+03
 1.38850E+03	 1.51484E+03
 1.39100E+03	 1.51660E+03
 1.39350E+03	 1.51846E+03
 1.39599E+03	 1.52020E+03
 1.39849E+03	 1.51580E+03
 1.40098E+03	 1.52250E+03
 1.40348E+03	 1.51868E+03
 1.40597E+03	 1.52080E+03
 1.40846E+03	 1.52230E+03
 1.41095E+03	 1.51998E+03
 1.41344E+03	 1.51760E+03
 1.41593E+03	 1.51604E+03
 1.41842E+03	 1.51996E+03
 1.42091E+03	 1.51794E+03
 1.42340E+03	 1.51698E+03
 1.42588E+03	 1.51686E+03
 1.42837E+03	 1.51472E+03
 1.43086E+03	 1.51496E+03
 1.43334E+03	 1.51420E+03
 1.43582E+03	 1.50990E+03
 1.43831E+03	 1.51448E+03
 1.44079E+03	 1.50768E+03
 1.44327E+03	 1.51042E+03
 1.44575E+03	 1.50762E+03
 1.44823E+03	 1.50502E+03
 1.45071E+03	 1.50886E+03
 1.45319E+03	 1.50662E+03
 1.45566E+03	 1.50728E+03
 1.45814E+03	 1.50586E+03
 1.46062E+03	 1.50222E+03
 1.46309E+03	 1.50222E+03
 1.46557E+03	 1.49882E+03
 1.46804E+03	 1.50068E+03
 1.47051E+03	 1.49794E+03
 1.47298E+03	 1.50138E+03
 1.47546E+03	 1.49712E+03
 1.47793E+03	 1.49962E+03
 1.48040E+03	 1.49744E+03
 1.48286E+03	 1.49580E+03
 1.48533E+03	 1.49690E+03
 1.48780E+03	 1.49786E+03
 1.49027E+03	 1.49324E+03
 1.49273E+03	 1.49682E+03
 1.49520E+03	 1.49392E+03
 1.49766E+03	 1.49464E+03
 1.50013E+03	 1.49360E+03
 1.50259E+03	 1.49584E+03
 1.50505E+03	 1.49272E+03
 1.50751E+03	 1.49790E+03
 1.50997E+03	 1.49162E+03
 1.51243E+03	 1.49780E+03
 1.51489E+03	 1.49396E+03
 1.51735E+03	 1.49282E+03
 1.51981E+03	 1.49468E+03
 1.52226E+03	 1.49454E+03
 1.52472E+03	 1.49420E+03
 1.52718E+03	 1.49470E+03
 1.52963E+03	 1.49368E+03
 1.53208E+03	 1.49182E+03
 1.53454E+03	 1.49636E+03
 1.53699E+03	 1.49422E+03
 1.53944E+03	 1.49354E+03
 1.54189E+03	 1.49536E+03
 1.54434E+03	 1.49442E+03
 1.54679E+03	 1.49132E+03
 1.54924E+03	 1.49336E+03
 1.55169E+03	 1.49602E+03
 1.55413E+03	 1.49706E+03
 1.55658E+03	 1.49174E+03
 1.55902E+03	 1.49464E+03
 1.56147E+03	 1.49170E+03
 1.56391E+03	 1.49262E+03
 1.56636E+03	 1.49282E+03
 1.56880E+03	 1.49658E+03
 1.57124E+03	 1.49198E+03
 1.57368E+03	 1.49424E+03
 1.57612E+03	 1.49042E+03
 1.57856E+03	 1.49196E+03
 1.58100E+03	 1.49164E+03
 1.58344E+03	 1.48758E+03
 1.58587E+03	 1.48630E+03
 1.58831E+03	 1.49368E+03
 1.59074E+03	 1.49030E+03
 1.59318E+03	 1.48818E+03
 1.59561E+03	 1.48870E+03
 1.59805E+03	 1.48806E+03
 1.60048E+03	 1.48784E+03
 1.60291E+03	 1.48936E+03
 1.60534E+03	 1.48648E+03
 1.60777E+03	 1.48632E+03
 1.61020E+03	 1.48730E+03
 1.61263E+03	 1.48816E+03
 1.61506E+03	 1.48094E+03
 1.61749E+03	 1.48576E+03
 1.61991E+03	 1.48220E+03
 1.62234E+03	 1.48378E+03
 1.62476E+03	 1.48104E+03
 1.62719E+03	 1.48158E+03
 1.62961E+03	 1.48620E+03
 1.63203E+03	 1.48534E+03
 1.63446E+03	 1.48302E+03
 1.63688E+03	 1.48394E+03
 1.63930E+03	 1.48058E+03
 1.64172E+03	 1.48212E+03
 1.64414E+03	 1.48572E+03
