//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--030--Spec.Data 1 DAN
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3972.40000002328
PositionY = 10071.2000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--030--Spec.Data 1 DAN
 1.43086E+03	 1.66228E+03
 1.43334E+03	 1.65842E+03
 1.43582E+03	 1.65590E+03
 1.43831E+03	 1.65906E+03
 1.44079E+03	 1.66212E+03
 1.44327E+03	 1.66302E+03
 1.44575E+03	 1.65920E+03
 1.44823E+03	 1.65596E+03
 1.45071E+03	 1.65590E+03
 1.45319E+03	 1.66058E+03
 1.45566E+03	 1.66254E+03
 1.45814E+03	 1.66128E+03
 1.46062E+03	 1.65982E+03
 1.46309E+03	 1.66030E+03
 1.46557E+03	 1.65732E+03
 1.46804E+03	 1.65666E+03
 1.47051E+03	 1.66382E+03
 1.47298E+03	 1.66034E+03
 1.47546E+03	 1.66318E+03
 1.47793E+03	 1.66076E+03
 1.48040E+03	 1.65598E+03
 1.48286E+03	 1.65782E+03
 1.48533E+03	 1.66116E+03
 1.48780E+03	 1.65710E+03
 1.49027E+03	 1.65436E+03
 1.49273E+03	 1.65390E+03
 1.49520E+03	 1.66018E+03
 1.49766E+03	 1.65998E+03
 1.50013E+03	 1.66468E+03
 1.50259E+03	 1.66744E+03
 1.50505E+03	 1.66810E+03
 1.50751E+03	 1.66546E+03
 1.50997E+03	 1.67102E+03
 1.51243E+03	 1.67080E+03
 1.51489E+03	 1.66726E+03
 1.51735E+03	 1.66642E+03
 1.51981E+03	 1.66940E+03
 1.52226E+03	 1.67178E+03
 1.52472E+03	 1.66664E+03
 1.52718E+03	 1.66722E+03
 1.52963E+03	 1.66902E+03
 1.53208E+03	 1.67132E+03
 1.53454E+03	 1.66844E+03
 1.53699E+03	 1.66460E+03
 1.53944E+03	 1.66844E+03
 1.54189E+03	 1.66330E+03
 1.54434E+03	 1.66790E+03
 1.54679E+03	 1.66526E+03
 1.54924E+03	 1.66206E+03
 1.55169E+03	 1.66226E+03
 1.55413E+03	 1.66530E+03
 1.55658E+03	 1.66462E+03
 1.55902E+03	 1.66550E+03
 1.56147E+03	 1.66338E+03
 1.56391E+03	 1.66328E+03
 1.56636E+03	 1.65696E+03
 1.56880E+03	 1.65646E+03
 1.57124E+03	 1.66074E+03
 1.57368E+03	 1.66164E+03
 1.57612E+03	 1.66166E+03
 1.57856E+03	 1.65532E+03
 1.58100E+03	 1.65608E+03
 1.58344E+03	 1.65454E+03
 1.58587E+03	 1.65452E+03
 1.58831E+03	 1.65560E+03
 1.59074E+03	 1.65190E+03
 1.59318E+03	 1.65016E+03
 1.59561E+03	 1.64762E+03
 1.59805E+03	 1.65210E+03
 1.60048E+03	 1.65246E+03
 1.60291E+03	 1.65060E+03
 1.60534E+03	 1.64650E+03
 1.60777E+03	 1.64932E+03
 1.61020E+03	 1.64786E+03
 1.61263E+03	 1.64888E+03
 1.61506E+03	 1.65338E+03
 1.61749E+03	 1.65414E+03
 1.61991E+03	 1.65138E+03
 1.62234E+03	 1.64768E+03
 1.62476E+03	 1.64858E+03
 1.62719E+03	 1.65000E+03
 1.62961E+03	 1.64728E+03
 1.63203E+03	 1.63914E+03
 1.63446E+03	 1.63852E+03
 1.63688E+03	 1.64118E+03
 1.63930E+03	 1.64250E+03
 1.64172E+03	 1.64142E+03
 1.64414E+03	 1.63708E+03
 1.64656E+03	 1.63798E+03
 1.64897E+03	 1.63704E+03
 1.65139E+03	 1.64542E+03
 1.65381E+03	 1.64110E+03
 1.65622E+03	 1.64648E+03
 1.65864E+03	 1.63892E+03
 1.66105E+03	 1.64132E+03
 1.66346E+03	 1.65046E+03
 1.66588E+03	 1.64124E+03
 1.66829E+03	 1.64560E+03
 1.67070E+03	 1.63988E+03
 1.67311E+03	 1.65066E+03
 1.67552E+03	 1.64464E+03
 1.67793E+03	 1.64252E+03
 1.68034E+03	 1.64808E+03
 1.68274E+03	 1.64478E+03
 1.68515E+03	 1.64976E+03
 1.68756E+03	 1.65256E+03
 1.68996E+03	 1.64598E+03
 1.69236E+03	 1.65640E+03
 1.69477E+03	 1.64928E+03
 1.69717E+03	 1.64942E+03
 1.69957E+03	 1.65018E+03
 1.70197E+03	 1.64920E+03
 1.70438E+03	 1.64408E+03
 1.70678E+03	 1.64488E+03
 1.70917E+03	 1.65014E+03
 1.71157E+03	 1.64430E+03
 1.71397E+03	 1.64660E+03
 1.71637E+03	 1.64656E+03
 1.71876E+03	 1.64348E+03
 1.72116E+03	 1.64712E+03
 1.72355E+03	 1.64398E+03
 1.72595E+03	 1.64792E+03
 1.72834E+03	 1.64186E+03
 1.73073E+03	 1.63420E+03
 1.73313E+03	 1.63244E+03
 1.73552E+03	 1.63010E+03
 1.73791E+03	 1.62828E+03
 1.74030E+03	 1.62838E+03
 1.74269E+03	 1.62376E+03
 1.74507E+03	 1.63336E+03
 1.74746E+03	 1.62642E+03
 1.74985E+03	 1.63000E+03
 1.75224E+03	 1.63592E+03
 1.75462E+03	 1.63264E+03
 1.75701E+03	 1.63550E+03
 1.75939E+03	 1.63220E+03
 1.76177E+03	 1.63244E+03
 1.76415E+03	 1.63496E+03
 1.76654E+03	 1.62940E+03
 1.76892E+03	 1.63228E+03
 1.77130E+03	 1.63252E+03
 1.77368E+03	 1.63296E+03
 1.77606E+03	 1.63252E+03
 1.77843E+03	 1.62680E+03
 1.78081E+03	 1.62976E+03
 1.78319E+03	 1.63354E+03
 1.78556E+03	 1.62202E+03
 1.78794E+03	 1.62916E+03
 1.79031E+03	 1.62218E+03
 1.79269E+03	 1.62362E+03
 1.79506E+03	 1.63030E+03
 1.79743E+03	 1.63012E+03
 1.79981E+03	 1.62970E+03
 1.80218E+03	 1.62626E+03
 1.80455E+03	 1.62502E+03
 1.80692E+03	 1.63224E+03
 1.80928E+03	 1.62478E+03
 1.81165E+03	 1.62380E+03
 1.81402E+03	 1.62764E+03
 1.81639E+03	 1.62380E+03
 1.81875E+03	 1.62258E+03
 1.82112E+03	 1.62452E+03
 1.82348E+03	 1.62544E+03
 1.82585E+03	 1.62492E+03
 1.82821E+03	 1.62554E+03
 1.83057E+03	 1.62526E+03
 1.83293E+03	 1.62464E+03
 1.83529E+03	 1.61500E+03
 1.83765E+03	 1.62374E+03
 1.84001E+03	 1.61904E+03
 1.84237E+03	 1.62634E+03
 1.84473E+03	 1.61890E+03
 1.84709E+03	 1.62546E+03
 1.84944E+03	 1.63086E+03
 1.85180E+03	 1.62714E+03
 1.85416E+03	 1.62670E+03
 1.85651E+03	 1.62788E+03
 1.85886E+03	 1.62906E+03
 1.86122E+03	 1.62832E+03
 1.86357E+03	 1.62588E+03
 1.86592E+03	 1.62146E+03
 1.86827E+03	 1.62196E+03
 1.87062E+03	 1.62348E+03
 1.87297E+03	 1.62604E+03
 1.87532E+03	 1.62558E+03
 1.87767E+03	 1.62498E+03
 1.88002E+03	 1.62902E+03
 1.88236E+03	 1.62916E+03
 1.88471E+03	 1.62188E+03
 1.88705E+03	 1.62462E+03
 1.88940E+03	 1.62230E+03
 1.89174E+03	 1.61958E+03
 1.89409E+03	 1.62556E+03
 1.89643E+03	 1.62490E+03
