//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3511.70000002328
PositionY = 9787.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
 1.42588E+03	 2.70000E+03
 1.42837E+03	 2.69892E+03
 1.43086E+03	 2.70274E+03
 1.43334E+03	 2.70796E+03
 1.43582E+03	 2.69054E+03
 1.43831E+03	 2.70848E+03
 1.44079E+03	 2.70134E+03
 1.44327E+03	 2.70452E+03
 1.44575E+03	 2.70520E+03
 1.44823E+03	 2.69524E+03
 1.45071E+03	 2.69260E+03
 1.45319E+03	 2.69574E+03
 1.45566E+03	 2.69086E+03
 1.45814E+03	 2.69610E+03
 1.46062E+03	 2.68990E+03
 1.46309E+03	 2.68288E+03
 1.46557E+03	 2.69722E+03
 1.46804E+03	 2.68998E+03
 1.47051E+03	 2.67688E+03
 1.47298E+03	 2.69614E+03
 1.47546E+03	 2.68958E+03
 1.47793E+03	 2.68572E+03
 1.48040E+03	 2.67700E+03
 1.48286E+03	 2.67192E+03
 1.48533E+03	 2.69512E+03
 1.48780E+03	 2.67588E+03
 1.49027E+03	 2.67848E+03
 1.49273E+03	 2.68036E+03
 1.49520E+03	 2.67798E+03
 1.49766E+03	 2.69802E+03
 1.50013E+03	 2.68164E+03
 1.50259E+03	 2.69780E+03
 1.50505E+03	 2.69566E+03
 1.50751E+03	 2.68860E+03
 1.50997E+03	 2.70374E+03
 1.51243E+03	 2.70220E+03
 1.51489E+03	 2.70934E+03
 1.51735E+03	 2.70212E+03
 1.51981E+03	 2.70288E+03
 1.52226E+03	 2.71174E+03
 1.52472E+03	 2.69812E+03
 1.52718E+03	 2.71012E+03
 1.52963E+03	 2.68824E+03
 1.53208E+03	 2.70208E+03
 1.53454E+03	 2.70628E+03
 1.53699E+03	 2.70026E+03
 1.53944E+03	 2.70308E+03
 1.54189E+03	 2.71534E+03
 1.54434E+03	 2.70786E+03
 1.54679E+03	 2.71342E+03
 1.54924E+03	 2.70024E+03
 1.55169E+03	 2.70102E+03
