//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
 1.52718E+03	 1.51904E+03
 1.52963E+03	 1.51910E+03
 1.53208E+03	 1.51388E+03
 1.53454E+03	 1.51594E+03
 1.53699E+03	 1.51576E+03
 1.53944E+03	 1.51824E+03
 1.54189E+03	 1.51674E+03
 1.54434E+03	 1.52114E+03
 1.54679E+03	 1.52146E+03
 1.54924E+03	 1.52088E+03
 1.55169E+03	 1.52502E+03
 1.55413E+03	 1.52102E+03
 1.55658E+03	 1.52132E+03
 1.55902E+03	 1.52184E+03
 1.56147E+03	 1.52324E+03
 1.56391E+03	 1.52244E+03
 1.56636E+03	 1.52368E+03
 1.56880E+03	 1.52634E+03
 1.57124E+03	 1.52424E+03
 1.57368E+03	 1.52484E+03
 1.57612E+03	 1.52510E+03
 1.57856E+03	 1.52510E+03
 1.58100E+03	 1.52530E+03
 1.58344E+03	 1.52600E+03
 1.58587E+03	 1.52618E+03
 1.58831E+03	 1.52956E+03
 1.59074E+03	 1.52724E+03
 1.59318E+03	 1.52720E+03
 1.59561E+03	 1.52670E+03
 1.59805E+03	 1.52504E+03
 1.60048E+03	 1.52794E+03
 1.60291E+03	 1.52122E+03
 1.60534E+03	 1.52162E+03
 1.60777E+03	 1.52444E+03
 1.61020E+03	 1.52380E+03
 1.61263E+03	 1.52430E+03
 1.61506E+03	 1.52742E+03
 1.61749E+03	 1.52404E+03
 1.61991E+03	 1.52468E+03
 1.62234E+03	 1.51880E+03
 1.62476E+03	 1.52470E+03
 1.62719E+03	 1.52670E+03
 1.62961E+03	 1.52450E+03
 1.63203E+03	 1.52692E+03
 1.63446E+03	 1.52796E+03
 1.63688E+03	 1.52736E+03
 1.63930E+03	 1.52782E+03
 1.64172E+03	 1.52738E+03
 1.64414E+03	 1.53124E+03
 1.64656E+03	 1.52488E+03
 1.64897E+03	 1.53082E+03
 1.65139E+03	 1.52822E+03
 1.65381E+03	 1.53658E+03
 1.65622E+03	 1.53462E+03
 1.65864E+03	 1.53420E+03
 1.66105E+03	 1.52882E+03
 1.66346E+03	 1.53614E+03
 1.66588E+03	 1.53724E+03
 1.66829E+03	 1.53744E+03
 1.67070E+03	 1.53254E+03
 1.67311E+03	 1.53672E+03
 1.67552E+03	 1.53540E+03
 1.67793E+03	 1.53686E+03
 1.68034E+03	 1.53560E+03
 1.68274E+03	 1.53840E+03
 1.68515E+03	 1.53976E+03
 1.68756E+03	 1.53838E+03
 1.68996E+03	 1.53774E+03
 1.69236E+03	 1.53944E+03
 1.69477E+03	 1.53952E+03
 1.69717E+03	 1.54048E+03
 1.69957E+03	 1.54100E+03
 1.70197E+03	 1.54476E+03
 1.70438E+03	 1.54042E+03
 1.70678E+03	 1.54220E+03
 1.70917E+03	 1.54198E+03
 1.71157E+03	 1.54166E+03
 1.71397E+03	 1.53864E+03
 1.71637E+03	 1.54424E+03
 1.71876E+03	 1.54144E+03
 1.72116E+03	 1.54178E+03
 1.72355E+03	 1.54344E+03
 1.72595E+03	 1.54242E+03
 1.72834E+03	 1.54010E+03
 1.73073E+03	 1.54000E+03
 1.73313E+03	 1.53632E+03
 1.73552E+03	 1.53420E+03
 1.73791E+03	 1.53742E+03
 1.74030E+03	 1.53436E+03
 1.74269E+03	 1.53850E+03
 1.74507E+03	 1.53844E+03
 1.74746E+03	 1.54230E+03
 1.74985E+03	 1.54432E+03
 1.75224E+03	 1.54442E+03
 1.75462E+03	 1.54266E+03
 1.75701E+03	 1.54476E+03
 1.75939E+03	 1.54772E+03
 1.76177E+03	 1.54756E+03
 1.76415E+03	 1.54924E+03
 1.76654E+03	 1.55156E+03
 1.76892E+03	 1.55070E+03
 1.77130E+03	 1.54506E+03
 1.77368E+03	 1.54506E+03
 1.77606E+03	 1.54872E+03
 1.77843E+03	 1.54984E+03
 1.78081E+03	 1.55050E+03
 1.78319E+03	 1.55120E+03
 1.78556E+03	 1.55018E+03
 1.78794E+03	 1.54720E+03
 1.79031E+03	 1.54444E+03
 1.79269E+03	 1.54596E+03
 1.79506E+03	 1.54674E+03
 1.79743E+03	 1.54996E+03
 1.79981E+03	 1.54788E+03
 1.80218E+03	 1.55494E+03
 1.80455E+03	 1.55060E+03
 1.80692E+03	 1.55142E+03
 1.80928E+03	 1.54908E+03
 1.81165E+03	 1.54874E+03
 1.81402E+03	 1.55092E+03
 1.81639E+03	 1.55370E+03
 1.81875E+03	 1.55496E+03
 1.82112E+03	 1.55484E+03
 1.82348E+03	 1.55370E+03
 1.82585E+03	 1.55340E+03
 1.82821E+03	 1.55480E+03
 1.83057E+03	 1.55062E+03
 1.83293E+03	 1.55398E+03
 1.83529E+03	 1.55466E+03
 1.83765E+03	 1.55712E+03
 1.84001E+03	 1.55134E+03
 1.84237E+03	 1.55464E+03
 1.84473E+03	 1.55196E+03
 1.84709E+03	 1.55538E+03
 1.84944E+03	 1.55058E+03
 1.85180E+03	 1.55564E+03
 1.85416E+03	 1.56004E+03
 1.85651E+03	 1.55798E+03
 1.85886E+03	 1.56126E+03
 1.86122E+03	 1.55822E+03
 1.86357E+03	 1.55400E+03
 1.86592E+03	 1.55548E+03
 1.86827E+03	 1.55928E+03
 1.87062E+03	 1.55616E+03
 1.87297E+03	 1.55944E+03
 1.87532E+03	 1.55940E+03
 1.87767E+03	 1.56386E+03
 1.88002E+03	 1.56142E+03
 1.88236E+03	 1.56384E+03
 1.88471E+03	 1.55998E+03
 1.88705E+03	 1.56320E+03
 1.88940E+03	 1.57118E+03
 1.89174E+03	 1.56602E+03
 1.89409E+03	 1.56238E+03
 1.89643E+03	 1.56660E+03
 1.89877E+03	 1.56692E+03
