//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200  5mins--Spectrum--037--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200  5mins--Spectrum--037--Spec.Data 1
 1.44327E+03	 1.50398E+03
 1.44575E+03	 1.50520E+03
 1.44823E+03	 1.50298E+03
 1.45071E+03	 1.50150E+03
 1.45319E+03	 1.50266E+03
 1.45566E+03	 1.50306E+03
 1.45814E+03	 1.50320E+03
 1.46062E+03	 1.50338E+03
 1.46309E+03	 1.50560E+03
 1.46557E+03	 1.50364E+03
 1.46804E+03	 1.50198E+03
 1.47051E+03	 1.50308E+03
 1.47298E+03	 1.50320E+03
 1.47546E+03	 1.50166E+03
 1.47793E+03	 1.50090E+03
 1.48040E+03	 1.50358E+03
 1.48286E+03	 1.50388E+03
 1.48533E+03	 1.50244E+03
 1.48780E+03	 1.50342E+03
 1.49027E+03	 1.50166E+03
 1.49273E+03	 1.50084E+03
 1.49520E+03	 1.50092E+03
 1.49766E+03	 1.50218E+03
 1.50013E+03	 1.50278E+03
 1.50259E+03	 1.50430E+03
 1.50505E+03	 1.50074E+03
 1.50751E+03	 1.50614E+03
 1.50997E+03	 1.50634E+03
 1.51243E+03	 1.50574E+03
 1.51489E+03	 1.50416E+03
 1.51735E+03	 1.50632E+03
 1.51981E+03	 1.50636E+03
 1.52226E+03	 1.50966E+03
 1.52472E+03	 1.50800E+03
 1.52718E+03	 1.50672E+03
 1.52963E+03	 1.50778E+03
 1.53208E+03	 1.50882E+03
 1.53454E+03	 1.51094E+03
 1.53699E+03	 1.50802E+03
 1.53944E+03	 1.51168E+03
 1.54189E+03	 1.51320E+03
 1.54434E+03	 1.51536E+03
 1.54679E+03	 1.51360E+03
 1.54924E+03	 1.51226E+03
 1.55169E+03	 1.51502E+03
 1.55413E+03	 1.51496E+03
 1.55658E+03	 1.51298E+03
 1.55902E+03	 1.51500E+03
 1.56147E+03	 1.51750E+03
 1.56391E+03	 1.51472E+03
 1.56636E+03	 1.51418E+03
 1.56880E+03	 1.51476E+03
 1.57124E+03	 1.51790E+03
 1.57368E+03	 1.51452E+03
 1.57612E+03	 1.51688E+03
 1.57856E+03	 1.51454E+03
 1.58100E+03	 1.52018E+03
 1.58344E+03	 1.51716E+03
 1.58587E+03	 1.51456E+03
 1.58831E+03	 1.51682E+03
 1.59074E+03	 1.51530E+03
 1.59318E+03	 1.51616E+03
 1.59561E+03	 1.51528E+03
 1.59805E+03	 1.52010E+03
 1.60048E+03	 1.51672E+03
 1.60291E+03	 1.52022E+03
 1.60534E+03	 1.51522E+03
 1.60777E+03	 1.51580E+03
 1.61020E+03	 1.51482E+03
 1.61263E+03	 1.51780E+03
 1.61506E+03	 1.51752E+03
 1.61749E+03	 1.51578E+03
 1.61991E+03	 1.51652E+03
 1.62234E+03	 1.52006E+03
 1.62476E+03	 1.51652E+03
 1.62719E+03	 1.52238E+03
 1.62961E+03	 1.51726E+03
 1.63203E+03	 1.51620E+03
 1.63446E+03	 1.51636E+03
 1.63688E+03	 1.51970E+03
 1.63930E+03	 1.52284E+03
 1.64172E+03	 1.52032E+03
 1.64414E+03	 1.51990E+03
 1.64656E+03	 1.52036E+03
 1.64897E+03	 1.51974E+03
 1.65139E+03	 1.52018E+03
 1.65381E+03	 1.52712E+03
 1.65622E+03	 1.52472E+03
 1.65864E+03	 1.52400E+03
 1.66105E+03	 1.52286E+03
 1.66346E+03	 1.52384E+03
 1.66588E+03	 1.52402E+03
 1.66829E+03	 1.52460E+03
 1.67070E+03	 1.52718E+03
 1.67311E+03	 1.52416E+03
 1.67552E+03	 1.52728E+03
 1.67793E+03	 1.52562E+03
 1.68034E+03	 1.53102E+03
 1.68274E+03	 1.52944E+03
 1.68515E+03	 1.52980E+03
 1.68756E+03	 1.52740E+03
 1.68996E+03	 1.53112E+03
 1.69236E+03	 1.53238E+03
 1.69477E+03	 1.53380E+03
 1.69717E+03	 1.53394E+03
 1.69957E+03	 1.53040E+03
 1.70197E+03	 1.53114E+03
 1.70438E+03	 1.53406E+03
 1.70678E+03	 1.53148E+03
 1.70917E+03	 1.53162E+03
 1.71157E+03	 1.53142E+03
 1.71397E+03	 1.53426E+03
 1.71637E+03	 1.53164E+03
 1.71876E+03	 1.53022E+03
 1.72116E+03	 1.53290E+03
 1.72355E+03	 1.53436E+03
 1.72595E+03	 1.53022E+03
 1.72834E+03	 1.52966E+03
 1.73073E+03	 1.53158E+03
 1.73313E+03	 1.52734E+03
 1.73552E+03	 1.52480E+03
 1.73791E+03	 1.52340E+03
 1.74030E+03	 1.52722E+03
 1.74269E+03	 1.52616E+03
 1.74507E+03	 1.53266E+03
 1.74746E+03	 1.52812E+03
 1.74985E+03	 1.53048E+03
 1.75224E+03	 1.54050E+03
 1.75462E+03	 1.53434E+03
 1.75701E+03	 1.53814E+03
 1.75939E+03	 1.53810E+03
 1.76177E+03	 1.53754E+03
 1.76415E+03	 1.53588E+03
 1.76654E+03	 1.53756E+03
 1.76892E+03	 1.53442E+03
 1.77130E+03	 1.53698E+03
 1.77368E+03	 1.53768E+03
 1.77606E+03	 1.53846E+03
 1.77843E+03	 1.54008E+03
 1.78081E+03	 1.53822E+03
 1.78319E+03	 1.54090E+03
 1.78556E+03	 1.53828E+03
 1.78794E+03	 1.53926E+03
 1.79031E+03	 1.53990E+03
 1.79269E+03	 1.54104E+03
 1.79506E+03	 1.53970E+03
 1.79743E+03	 1.54252E+03
 1.79981E+03	 1.53976E+03
 1.80218E+03	 1.53872E+03
 1.80455E+03	 1.54190E+03
 1.80692E+03	 1.53746E+03
 1.80928E+03	 1.53708E+03
 1.81165E+03	 1.54372E+03
 1.81402E+03	 1.54242E+03
 1.81639E+03	 1.54184E+03
 1.81875E+03	 1.53918E+03
 1.82112E+03	 1.53942E+03
 1.82348E+03	 1.54148E+03
 1.82585E+03	 1.54108E+03
 1.82821E+03	 1.54256E+03
 1.83057E+03	 1.54456E+03
