//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5691.30000002328
PositionY = 10021.5000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
 1.27276E+03	 1.40800E+03
 1.27529E+03	 1.41276E+03
 1.27783E+03	 1.40912E+03
 1.28036E+03	 1.40896E+03
 1.28289E+03	 1.41140E+03
 1.28542E+03	 1.40836E+03
 1.28795E+03	 1.40874E+03
 1.29048E+03	 1.40842E+03
 1.29301E+03	 1.41012E+03
 1.29554E+03	 1.40954E+03
 1.29806E+03	 1.40846E+03
 1.30059E+03	 1.40838E+03
 1.30311E+03	 1.40894E+03
 1.30564E+03	 1.40912E+03
 1.30816E+03	 1.40800E+03
 1.31069E+03	 1.41042E+03
 1.31321E+03	 1.40920E+03
 1.31573E+03	 1.41206E+03
 1.31825E+03	 1.40994E+03
 1.32077E+03	 1.40794E+03
 1.32329E+03	 1.40862E+03
 1.32581E+03	 1.40906E+03
 1.32832E+03	 1.41026E+03
 1.33084E+03	 1.41040E+03
 1.33336E+03	 1.41102E+03
 1.33587E+03	 1.41278E+03
 1.33838E+03	 1.41044E+03
 1.34090E+03	 1.41208E+03
 1.34341E+03	 1.41144E+03
 1.34592E+03	 1.41104E+03
 1.34843E+03	 1.41056E+03
 1.35094E+03	 1.41126E+03
 1.35345E+03	 1.41336E+03
 1.35596E+03	 1.41160E+03
 1.35847E+03	 1.41190E+03
 1.36098E+03	 1.41212E+03
 1.36348E+03	 1.40876E+03
 1.36599E+03	 1.41000E+03
 1.36849E+03	 1.41416E+03
 1.37100E+03	 1.41340E+03
