//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
 1.19124E+03	 1.43136E+03
 1.19380E+03	 1.42712E+03
 1.19636E+03	 1.42716E+03
 1.19892E+03	 1.42930E+03
 1.20148E+03	 1.42854E+03
 1.20404E+03	 1.43072E+03
 1.20659E+03	 1.42674E+03
 1.20915E+03	 1.42590E+03
 1.21170E+03	 1.43028E+03
 1.21425E+03	 1.42792E+03
 1.21681E+03	 1.42932E+03
 1.21936E+03	 1.42778E+03
 1.22191E+03	 1.42878E+03
 1.22446E+03	 1.42870E+03
 1.22701E+03	 1.43086E+03
 1.22956E+03	 1.43092E+03
 1.23210E+03	 1.43118E+03
 1.23465E+03	 1.42650E+03
 1.23720E+03	 1.42858E+03
 1.23974E+03	 1.43056E+03
 1.24229E+03	 1.42906E+03
 1.24483E+03	 1.42580E+03
 1.24737E+03	 1.42954E+03
 1.24992E+03	 1.42714E+03
 1.25246E+03	 1.42908E+03
 1.25500E+03	 1.42844E+03
 1.25754E+03	 1.43144E+03
 1.26008E+03	 1.42692E+03
 1.26261E+03	 1.43132E+03
 1.26515E+03	 1.43126E+03
 1.26769E+03	 1.42826E+03
 1.27022E+03	 1.42898E+03
 1.27276E+03	 1.42842E+03
 1.27529E+03	 1.42826E+03
 1.27783E+03	 1.42760E+03
 1.28036E+03	 1.42838E+03
 1.28289E+03	 1.42676E+03
 1.28542E+03	 1.43050E+03
 1.28795E+03	 1.42864E+03
 1.29048E+03	 1.42946E+03
 1.29301E+03	 1.43034E+03
 1.29554E+03	 1.42916E+03
 1.29806E+03	 1.42818E+03
 1.30059E+03	 1.42736E+03
 1.30311E+03	 1.43038E+03
 1.30564E+03	 1.43008E+03
 1.30816E+03	 1.43244E+03
 1.31069E+03	 1.43000E+03
 1.31321E+03	 1.43014E+03
 1.31573E+03	 1.43074E+03
 1.31825E+03	 1.42948E+03
 1.32077E+03	 1.42942E+03
 1.32329E+03	 1.43456E+03
 1.32581E+03	 1.43134E+03
 1.32832E+03	 1.43120E+03
 1.33084E+03	 1.42984E+03
 1.33336E+03	 1.43430E+03
 1.33587E+03	 1.43188E+03
 1.33838E+03	 1.43304E+03
 1.34090E+03	 1.43094E+03
 1.34341E+03	 1.43170E+03
 1.34592E+03	 1.43276E+03
 1.34843E+03	 1.43366E+03
 1.35094E+03	 1.43292E+03
 1.35345E+03	 1.43270E+03
 1.35596E+03	 1.43210E+03
 1.35847E+03	 1.43094E+03
 1.36098E+03	 1.43062E+03
 1.36348E+03	 1.43378E+03
 1.36599E+03	 1.42902E+03
 1.36849E+03	 1.43330E+03
 1.37100E+03	 1.43202E+03
 1.37350E+03	 1.43472E+03
 1.37600E+03	 1.43238E+03
 1.37850E+03	 1.43298E+03
 1.38100E+03	 1.43204E+03
 1.38350E+03	 1.43308E+03
 1.38600E+03	 1.43124E+03
 1.38850E+03	 1.42980E+03
 1.39100E+03	 1.43330E+03
 1.39350E+03	 1.43286E+03
 1.39599E+03	 1.43500E+03
 1.39849E+03	 1.43100E+03
 1.40098E+03	 1.43076E+03
 1.40348E+03	 1.43216E+03
 1.40597E+03	 1.43180E+03
 1.40846E+03	 1.43220E+03
 1.41095E+03	 1.43312E+03
 1.41344E+03	 1.43538E+03
 1.41593E+03	 1.43672E+03
 1.41842E+03	 1.43492E+03
 1.42091E+03	 1.42996E+03
 1.42340E+03	 1.43426E+03
 1.42588E+03	 1.43290E+03
 1.42837E+03	 1.43044E+03
 1.43086E+03	 1.43254E+03
 1.43334E+03	 1.43498E+03
 1.43582E+03	 1.43590E+03
 1.43831E+03	 1.43484E+03
 1.44079E+03	 1.43390E+03
 1.44327E+03	 1.43430E+03
 1.44575E+03	 1.43412E+03
 1.44823E+03	 1.43472E+03
 1.45071E+03	 1.43510E+03
 1.45319E+03	 1.43604E+03
 1.45566E+03	 1.43524E+03
 1.45814E+03	 1.43436E+03
 1.46062E+03	 1.43326E+03
 1.46309E+03	 1.43322E+03
 1.46557E+03	 1.43292E+03
 1.46804E+03	 1.43576E+03
 1.47051E+03	 1.43584E+03
 1.47298E+03	 1.43514E+03
 1.47546E+03	 1.43678E+03
