Wavenumber (cm^-1),Intensity (a.u.)
1554.780788,1411.77
1557.247974,1408.37
1559.684742,1409.17
1562.150525,1407.23
1564.585907,1412.67
1567.020601,1409.23
1569.484285,1409.83
1571.917595,1409.5
1574.37988,1409.83
1576.811807,1407.4
1579.243048,1409.7
1581.703239,1405.3
1584.133098,1408.77
1586.562272,1406.87
1589.020372,1408.77
1591.448167,1404.7
1593.904871,1406.63
1596.331288,1403.33
1598.75702,1407.5
1601.211638,1402.53
1603.635994,1408.6
1606.059667,1405.1
1608.512201,1406.17
1610.934499,1403.17
1613.356114,1403.63
1615.806567,1403.7
1618.22681,1403.17
1620.675874,1400.63
1623.094745,1402.43
1625.512935,1410.07
1635.237795,1405.07
1637.652567,1399.87
1640.066659,1399.4
1642.5095,1400.2
1644.922226,1398.9
1647.334274,1399.27
1649.775046,1396.03
1652.185729,1395.37
1654.595734,1398.83
1657.03444,1396.33
1659.443082,1396.5
1661.851048,1396.57
1664.28769,1393.37
1666.694294,1397.5
1669.100222,1395.5
1671.505475,1397.87
1673.939372,1393.77
1676.343266,1396.8
1678.746485,1395.37
1681.178325,1395.53
1683.580187,1394.37
1685.981374,1397.1
1688.411159,1394.3
1690.810991,1396
1693.210151,1392.83
1695.608637,1395.6
1698.035689,1395.4
1700.432822,1393.53
1702.829283,1396.03
1705.254286,1393.43
1707.649396,1394.03
1710.043834,1392.73
1712.437602,1395.43
1714.859879,1393.57
1717.252298,1390.9
1719.644047,1397.2
1722.035126,1394.73
1724.454683,1395.13
1726.844415,1395.57
1729.233478,1393.47
1731.621873,1391.57
1734.038713,1394.87
1736.425763,1396.47
1738.812146,1394.83
1741.19786,1394.93
1743.61199,1392.57
1745.996362,1391.67
1748.380068,1395.43
1750.763107,1393.1
1753.17453,1391.27
1755.556229,1392.43
1757.937263,1392.97
1760.317631,1390.2
1762.726351,1393.9
1765.105382,1390.9
1767.483748,1391.93
1769.861451,1393.9
1772.238489,1389.97
1774.64384,1391.1
1777.019543,1390
1779.394583,1393.83
1781.768961,1393.3
1784.171619,1391.5
1786.544664,1392.97
1788.917047,1393.17
1791.288768,1392.3
1793.659828,1393
1796.05913,1391.03
1798.42886,1391.43
1800.797929,1391.3
1803.166338,1394.6
1805.534087,1392.6
1807.93004,1394.5
1810.296462,1392.8
1812.662224,1390.2
1815.027328,1391.1
1817.391773,1389.97
1819.75556,1388.77
1822.147504,1391.7
1824.509967,1389.33
1826.871773,1389.93
1829.232921,1389.97
1831.593413,1393.73
1833.953247,1386.7
1836.341192,1389.37
1838.699706,1390.93
1841.057565,1390.4
1843.414768,1390.23
1845.771315,1388.07
1848.127208,1386.97
1850.511164,1389.13
1852.865739,1385.33
1855.21966,1388.57
1857.572927,1388.1
1859.925541,1389.03
1862.277501,1389.47
1864.628808,1392.13
1867.008125,1391.9
1869.358118,1389.07
1871.707459,1389
1874.056149,1386.4
1876.404186,1391.33
1878.751572,1387.97
1881.098307,1390.8
1883.444391,1389.43
1885.818423,1388.83
1888.163198,1388.17
1890.507323,1390.53
1892.850797,1390.2
1895.193623,1387.9
1897.535799,1388.47
1899.877326,1391.03
1902.218204,1390.23
1904.586969,1388.83
1906.926542,1388.47
1909.265468,1389.27
1911.603746,1390.2
1913.941376,1390.67
1916.278359,1388.2
1918.614696,1389.9
1920.950386,1389.1
1923.285429,1387.5
1925.619826,1389.7
1927.953578,1389.1
1930.315132,1388.7
1932.647585,1387.43
1934.979393,1388.1
1937.310556,1390.97
1939.641075,1388.27
1941.970949,1387.6
1944.300179,1387.57
1946.628766,1390.03
1948.956709,1387.23
1951.28401,1388.97
1953.610667,1390.03
1955.936682,1389.53
1958.262054,1388.4
1960.586784,1387.63
1962.939212,1386.1
1965.262651,1387.9
1967.585449,1387.97
1969.907605,1388.57
1972.229121,1384.83
1974.549997,1383.9
1976.870233,1387.37
1979.189828,1388.1
1981.508784,1387.4
1983.8271,1385.57
1986.144777,1388.83
1988.461816,1386.03
1990.778215,1389.1
1993.093977,1388.87
1995.4091,1388.23
1997.723585,1388.73
2000.037433,1385.7
2002.350644,1389.5
2004.663217,1386.17
2006.975154,1385.8
2009.286454,1386.03
2011.597118,1387.27
2013.907146,1387.77
2016.216538,1387.4
2018.525295,1388.6
2020.833416,1389.27
2023.140903,1386.9
2025.447755,1386.33
2027.753972,1387.27
2030.059556,1386.67
2032.364505,1388.63
2034.668821,1388.6
2036.972503,1387.43
2039.275553,1388.47
2041.577969,1386.1
2043.879753,1387.17
2046.180904,1386.23
2048.481424,1384.6
2050.781311,1385.97
2053.080568,1386.47
2055.379192,1386.37
2057.677186,1387.57
2059.974549,1386.4
2062.271282,1386.4
2064.567384,1385.23
2066.862856,1385.47
2069.157699,1383.03
2071.451912,1387.43
2073.745496,1387.2
2076.03845,1384.37
2078.330777,1386.3
2080.622474,1386.3
2082.913544,1385.33
2085.203986,1386.63
2087.4938,1386.03
2089.782986,1386.73
2092.071546,1386.6
2094.359478,1386.77
2096.618894,1383.1
2098.905581,1387.03
2101.191642,1385.27
2103.477077,1385.8
2105.761887,1384.9
2108.046071,1384.1
2110.32963,1385.57
2112.612565,1384.23
2114.894874,1383.2
2117.17656,1385.97
2119.457621,1386.03
2121.738059,1384.6
2124.017872,1384.87
2126.297063,1384.23
2128.575631,1387.87
2130.8258,1384.3
2133.103129,1385.73
2135.379837,1386.03
2137.655923,1385.43
2139.931386,1384.87
2142.206229,1387.47
2144.48045,1386.9
2146.75405,1385.53
2149.027029,1385.53
2151.299388,1389.23
2153.543426,1384.87
2155.814552,1385.07
2158.085058,1386.3
2160.354945,1384.5
2162.624213,1388.33
2164.892862,1385.57
2167.160892,1386.13
2169.428303,1388.03
2171.695096,1386.2
2173.933639,1385.87
2176.199204,1386.77
2178.464152,1387.5
2180.728482,1385.93
2182.992195,1382.53
2185.255292,1385.5
2187.517772,1385.1
2189.779637,1386.6
2192.013312,1385.47
2194.273952,1384.17
2196.533977,1384.17
2198.793386,1383.43
2201.05218,1383.1
2203.31036,1384
2205.567925,1383.93
2207.797356,1386.77
2210.0537,1385.3
2212.309431,1383.73
2214.564548,1385.93
2216.819053,1382.67
2219.072944,1385.6
2221.326222,1383.27
2223.551421,1382.93
2225.803482,1385.03
2228.054931,1384.3
2230.305769,1384.17
2232.555995,1384.63
2234.80561,1384
2237.027191,1385.93
2239.275592,1384.67
2241.523382,1381.27
2243.770562,1381.8
2246.017132,1382.8
2248.263093,1383.83
2250.481065,1384.37
2252.725814,1384
2254.969954,1383.13
2257.213486,1382.57
2259.456409,1383.2
2261.671382,1383.6
2263.913096,1383.43
2266.154202,1384.3
2268.394701,1385.33
2270.634593,1385.33
2272.846573,1384.3
2275.085258,1384
2277.323337,1383.37
2279.56081,1384.9
2281.797676,1383.17
2284.006669,1383.47
2286.242332,1383.8
2288.477389,1383.17
2290.711841,1382.9
2292.945689,1386.07
2295.151701,1382.2
2297.384347,1381.77
2299.616389,1382.07
2301.847827,1384.03
2304.05146,1381.3
2306.281699,1384.43
2308.511334,1384.77
2310.740367,1381.7
2312.968797,1383.6
2315.16946,1381.33
2317.396693,1379.67
2319.623324,1385.17
2321.849353,1382.4
2324.047646,1383.2
2326.27248,1383.9
2328.496714,1384.37
2330.720346,1383.27
2332.916272,1382.1
2335.138712,1382.43
2337.360551,1384
2339.581791,1381.67
