#Wave;#Intensity
763.654297;7022.084864
761.861328;5428.245018
760.068359;4751.657421
758.275391;4481.546633
756.480469;4305.733838
754.685547;4169.618702
752.890625;4083.894679
751.095703;4092.792676
749.300781;4008.519239
747.503906;4021.155128
745.707031;3951.833935
743.910156;4038.961378
742.113281;3928.242091
740.316406;3882.717139
738.517578;3894.434961
736.71875;3846.145559
734.919922;3834.149512
733.121094;3789.613037
731.322266;3736.729199
729.521484;3780.995313
727.720703;3769.951857
725.919922;3731.506202
724.119141;3684.252782
722.318359;3677.879982
720.515625;3689.150049
718.712891;3665.606056
716.910156;3670.841017
715.107422;3672.826171
713.304688;3622.399169
711.5;3638.305031
709.695312;3628.241162
707.890625;3648.773244
706.085938;3638.711083
704.28125;3635.602782
702.474609;3667.236426
700.667969;3640.967285
698.861328;3661.010255
697.054688;3648.640625
695.248047;3641.366845
693.439453;3616.97622
691.630859;3661.523975
689.822266;3661.651466
688.013672;3644.66997
686.205078;3668.84048
684.394531;3677.285595
682.583984;3614.100683
680.773438;3677.993456
678.962891;3677.192285
677.150391;3680.085595
675.339844;3661.738966
673.527344;3720.948781
671.714844;3696.601563
669.902344;3646.887549
668.087891;3636.866408
666.275391;3658.672364
664.460938;3649.574758
662.646484;3639.098341
660.830078;3681.168068
659.015625;3640.275832
657.199219;3717.339406
655.382812;3709.158838
653.566406;3697.758544
651.75;3730.560449
649.933594;3740.793508
648.115234;3769.429591
646.296875;3741.921778
644.478516;3785.264014
642.660156;3739.368556
640.839844;3723.839357
639.021484;3754.74497
637.201172;3716.698535
635.380859;3757.700489
633.558594;3748.151369
631.738281;3765.704345
629.916016;3779.576171
628.09375;3780.127831
626.271484;3808.677443
624.449219;3788.571924
622.625;3809.766065
620.800781;3726.370018
618.978516;3770.956056
617.152344;3729.784912
615.328125;3670.754882
613.503906;3598.918407
611.677734;3601.339014
609.851562;3587.725246
608.025391;3596.558301
606.197266;3576.540968
604.371094;3650.377637
602.542969;3653.240871
600.714844;3599.36206
598.886719;3645.23838
597.056641;3658.162403
595.228516;3667.879688
593.398438;3694.508398
591.568359;3727.98125
589.738281;3730.364257
587.90625;3781.632764
586.076172;3789.027197
584.244141;3816.05581
582.412109;3878.229005
580.580078;3860.033447
578.746094;3862.8396
576.914062;3887.089406
575.080078;4019.900392
573.246094;4102.483301
571.412109;4253.42798
569.576172;4421.173684
567.740234;4488.116994
565.90625;4497.158887
564.068359;4312.572509
562.232422;4211.876417
560.396484;4261.50122
558.558594;4300.177245
556.720703;4373.885058
554.882812;4478.96162
553.044922;4483.894433
551.205078;4644.396435
549.365234;4652.018847
547.525391;4720.111281
545.685547;4852.725049
543.845703;4998.914991
542.003906;5179.573781
540.164062;5321.084521
538.322266;5444.819093
536.478516;5715.169824
534.636719;5895.966017
532.792969;6230.097069
530.951172;6645.763086
529.107422;7191.002245
527.261719;7780.000295
525.417969;8367.378222
523.572266;8931.82842
521.728516;9256.691308
519.880859;9279.130956
518.035156;8805.423046
516.189453;7980.851757
514.341797;7110.446875
512.494141;6220.500783
510.646484;5416.957518
508.798828;4801.594287
506.949219;4401.436963
505.101562;4056.195458
503.251953;3892.024269
501.402344;3662.80879
499.550781;3545.814111
497.701172;3441.526758
495.849609;3373.437061
493.998047;3422.393652
492.146484;3363.82334
490.292969;3363.083691
488.441406;3350.153516
486.587891;3332.714697
484.734375;3340.556543
482.880859;3340.724023
481.025391;3325.102539
479.171875;3316.252734
477.316406;3361.065039
475.460938;3355.81709
473.605469;3332.543115
471.748047;3364.253662
469.892578;3379.731592
468.035156;3395.202344
466.177734;3407.964356
464.318359;3380.201221
462.460938;3426.268603
460.601562;3402.113477
458.742188;3437.807324
456.882812;3443.347852
455.023438;3481.714551
453.162109;3451.272754
